#PSV-2.3   input_O:4a59207f
'GGAPBE96'   8.00000000 1
# pseudo potential for tapp generated by
# psv-2.3.0 2008.9.1                                
# title (comment) of allel input file:
# Oxygene with non-relativistic                                           
# title (comment) of psv input file:
# Oxygene                                                                 
# stiffness=   0.5804106
# 
     6.00000000000000
    2
    1    1
      8145    0.150505704968996E+01
       1.52642398       2.52231047      -0.52642398       1.26521186
10000
    0.500000000000000E-06   -0.109002401585312E+02
    0.500916696904692E-06   -0.109002401585314E+02
    0.501835074475814E-06   -0.109002401585316E+02
    0.502755135794690E-06   -0.109002401585318E+02
    0.503676883948292E-06   -0.109002401585320E+02
    0.504600322029252E-06   -0.109002401585322E+02
    0.505525453135874E-06   -0.109002401585324E+02
    0.506452280372139E-06   -0.109002401585326E+02
    0.507380806847722E-06   -0.109002401585328E+02
    0.508311035677997E-06   -0.109002401585330E+02
    0.509242969984050E-06   -0.109002401585332E+02
    0.510176612892691E-06   -0.109002401585334E+02
    0.511111967536461E-06   -0.109002401585336E+02
    0.512049037053644E-06   -0.109002401585338E+02
    0.512987824588280E-06   -0.109002401585340E+02
    0.513928333290169E-06   -0.109002401585342E+02
    0.514870566314890E-06   -0.109002401585344E+02
    0.515814526823806E-06   -0.109002401585347E+02
    0.516760217984075E-06   -0.109002401585349E+02
    0.517707642968663E-06   -0.109002401585351E+02
    0.518656804956353E-06   -0.109002401585353E+02
    0.519607707131754E-06   -0.109002401585355E+02
    0.520560352685318E-06   -0.109002401585357E+02
    0.521514744813342E-06   -0.109002401585359E+02
    0.522470886717985E-06   -0.109002401585361E+02
    0.523428781607277E-06   -0.109002401585364E+02
    0.524388432695129E-06   -0.109002401585366E+02
    0.525349843201345E-06   -0.109002401585368E+02
    0.526313016351631E-06   -0.109002401585370E+02
    0.527277955377608E-06   -0.109002401585372E+02
    0.528244663516822E-06   -0.109002401585374E+02
    0.529213144012754E-06   -0.109002401585377E+02
    0.530183400114832E-06   -0.109002401585379E+02
    0.531155435078440E-06   -0.109002401585381E+02
    0.532129252164934E-06   -0.109002401585383E+02
    0.533104854641645E-06   -0.109002401585386E+02
    0.534082245781898E-06   -0.109002401585388E+02
    0.535061428865016E-06   -0.109002401585390E+02
    0.536042407176337E-06   -0.109002401585392E+02
    0.537025184007222E-06   -0.109002401585395E+02
    0.538009762655064E-06   -0.109002401585397E+02
    0.538996146423304E-06   -0.109002401585399E+02
    0.539984338621438E-06   -0.109002401585401E+02
    0.540974342565031E-06   -0.109002401585404E+02
    0.541966161575725E-06   -0.109002401585406E+02
    0.542959798981253E-06   -0.109002401585408E+02
    0.543955258115450E-06   -0.109002401585411E+02
    0.544952542318261E-06   -0.109002401585413E+02
    0.545951654935755E-06   -0.109002401585415E+02
    0.546952599320137E-06   -0.109002401585418E+02
    0.547955378829757E-06   -0.109002401585420E+02
    0.548959996829122E-06   -0.109002401585422E+02
    0.549966456688908E-06   -0.109002401585425E+02
    0.550974761785970E-06   -0.109002401585427E+02
    0.551984915503356E-06   -0.109002401585430E+02
    0.552996921230313E-06   -0.109002401585432E+02
    0.554010782362305E-06   -0.109002401585434E+02
    0.555026502301020E-06   -0.109002401585437E+02
    0.556044084454382E-06   -0.109002401585439E+02
    0.557063532236566E-06   -0.109002401585442E+02
    0.558084849068002E-06   -0.109002401585444E+02
    0.559108038375394E-06   -0.109002401585447E+02
    0.560133103591728E-06   -0.109002401585449E+02
    0.561160048156284E-06   -0.109002401585452E+02
    0.562188875514648E-06   -0.109002401585454E+02
    0.563219589118721E-06   -0.109002401585456E+02
    0.564252192426735E-06   -0.109002401585459E+02
    0.565286688903261E-06   -0.109002401585462E+02
    0.566323082019223E-06   -0.109002401585464E+02
    0.567361375251909E-06   -0.109002401585467E+02
    0.568401572084979E-06   -0.109002401585469E+02
    0.569443676008484E-06   -0.109002401585472E+02
    0.570487690518870E-06   -0.109002401585474E+02
    0.571533619118997E-06   -0.109002401585477E+02
    0.572581465318145E-06   -0.109002401585479E+02
    0.573631232632027E-06   -0.109002401585482E+02
    0.574682924582804E-06   -0.109002401585485E+02
    0.575736544699093E-06   -0.109002401585487E+02
    0.576792096515980E-06   -0.109002401585490E+02
    0.577849583575034E-06   -0.109002401585492E+02
    0.578909009424316E-06   -0.109002401585495E+02
    0.579970377618391E-06   -0.109002401585498E+02
    0.581033691718343E-06   -0.109002401585500E+02
    0.582098955291782E-06   -0.109002401585503E+02
    0.583166171912863E-06   -0.109002401585506E+02
    0.584235345162291E-06   -0.109002401585508E+02
    0.585306478627334E-06   -0.109002401585511E+02
    0.586379575901842E-06   -0.109002401585514E+02
    0.587454640586249E-06   -0.109002401585516E+02
    0.588531676287594E-06   -0.109002401585519E+02
    0.589610686619526E-06   -0.109002401585522E+02
    0.590691675202321E-06   -0.109002401585525E+02
    0.591774645662892E-06   -0.109002401585527E+02
    0.592859601634800E-06   -0.109002401585530E+02
    0.593946546758271E-06   -0.109002401585533E+02
    0.595035484680203E-06   -0.109002401585536E+02
    0.596126419054180E-06   -0.109002401585538E+02
    0.597219353540484E-06   -0.109002401585541E+02
    0.598314291806109E-06   -0.109002401585544E+02
    0.599411237524772E-06   -0.109002401585547E+02
    0.600510194376925E-06   -0.109002401585550E+02
    0.601611166049768E-06   -0.109002401585553E+02
    0.602714156237260E-06   -0.109002401585555E+02
    0.603819168640133E-06   -0.109002401585558E+02
    0.604926206965905E-06   -0.109002401585561E+02
    0.606035274928891E-06   -0.109002401585564E+02
    0.607146376250214E-06   -0.109002401585567E+02
    0.608259514657821E-06   -0.109002401585570E+02
